ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
BIIB,0.0,AVOID,29.21,29.21,37.28813559322034,-12.866978388308556,35.71,19.46,37.28813559322034,-12.866978388308556,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BIOA,0.0,AVOID,58.256,58.256,55.932203389830505,59.29666146136805,55.36,62.6,55.932203389830505,59.29666146136805,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BLTE,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BMRN,0.0,AVOID,41.774,41.774,49.15254237288136,8.30629850638903,48.21,32.12,49.15254237288136,8.30629850638903,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BMY,0.0,AVOID,37.344,37.344,45.76271186440678,-1.2618803302747956,44.64,26.4,45.76271186440678,-1.2618803302747956,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BNTC,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BNTX,0.0,AVOID,38.726,38.726,47.45762711864407,0.0285574057517266,46.43,27.17,47.45762711864407,0.0285574057517266,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BRKR,0.0,AVOID,67.464,67.464,91.52542372881356,3.711702856777066,92.86,29.37,91.52542372881356,3.711702856777066,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CABA,0.0,AVOID,79.77,79.77,94.91525423728814,46.20455387009173,96.43,54.78,94.91525423728814,46.20455387009173,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CADL,0.0,AVOID,46.294,46.294,54.23728813559322,13.764640907457364,53.57,35.38,54.23728813559322,13.764640907457364,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CAI,0.0,AVOID,55.33,55.33,64.40677966101694,24.64753305099218,64.29,41.89,64.40677966101694,24.64753305099218,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CAPR,0.0,AVOID,74.846,74.846,89.83050847457628,39.06229788484468,91.07,50.51,89.83050847457628,39.06229788484468,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CATX,0.0,AVOID,86.454,86.454,88.13559322033898,92.085981143639,89.29,82.2,88.13559322033898,92.085981143639,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CBIO,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CCCC,0.0,AVOID,4.876,4.876,3.389830508474576,-25.03084509649568,0.0,12.19,3.389830508474576,-25.03084509649568,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CDNA,0.0,AVOID,43.882,43.882,52.54237288135594,8.137005965579803,51.79,32.02,52.54237288135594,8.137005965579803,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CDXS,0.0,AVOID,100.0,100.0,100.0,358.81413683638687,100.0,100.0,100.0,358.81413683638687,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CELC,0.0,AVOID,70.708,70.708,81.35593220338984,44.172908306426194,82.14,53.56,81.35593220338984,44.172908306426194,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CGC,0.0,AVOID,36.658,36.658,23.728813559322035,54.10371062705492,21.43,59.5,23.728813559322035,54.10371062705492,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CGEM,0.0,AVOID,85.402,85.402,88.13559322033898,87.67528229124109,89.29,79.57,88.13559322033898,87.67528229124109,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CGON,0.0,AVOID,39.848,39.848,38.983050847457626,27.11936111831062,37.5,43.37,38.983050847457626,27.11936111831062,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CHRS,0.0,AVOID,75.354,75.354,83.05084745762711,59.10048399115246,83.93,62.49,83.05084745762711,59.10048399115246,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CLDX,0.0,AVOID,9.762,9.762,16.94915254237288,-40.45198075030331,14.29,2.97,16.94915254237288,-40.45198075030331,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CLYM,0.0,AVOID,24.528,24.528,22.22222222222222,7.362770017445001,19.84,31.56,22.22222222222222,7.362770017445001,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CMPS,0.0,AVOID,19.598,19.598,30.508474576271187,-35.15414060933719,28.57,6.14,30.508474576271187,-35.15414060933719,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CMPX,0.0,AVOID,93.574,93.574,88.13559322033898,239.77426507550285,89.29,100.0,88.13559322033898,239.77426507550285,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CNTA,0.0,AVOID,93.102,93.102,96.61016949152544,97.50263521876396,98.21,85.44,96.61016949152544,97.50263521876396,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CNTN,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CNTX,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
COGT,0.0,AVOID,42.488,42.488,38.983050847457626,38.17058699610242,37.5,49.97,38.983050847457626,38.17058699610242,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
COLL,0.0,AVOID,51.446,51.446,61.01694915254237,17.38578357690266,60.71,37.55,61.01694915254237,17.38578357690266,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CORT,0.0,AVOID,8.29,8.29,6.779661016949152,-19.721874998809376,3.57,15.37,6.779661016949152,-19.721874998809376,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CPRX,0.0,AVOID,50.286,50.286,61.01694915254237,12.53165962825488,60.71,34.65,61.01694915254237,12.53165962825488,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRBP,0.0,AVOID,69.528,69.528,74.57627118644068,57.15217762237128,75.0,61.32,74.57627118644068,57.15217762237128,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRBU,0.0,AVOID,55.242,55.242,59.32203389830508,37.7356611027667,58.93,49.71,59.32203389830508,37.7356611027667,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRDF,0.0,AVOID,72.82,72.82,69.49152542372882,84.37500284784166,69.64,77.59,69.49152542372882,84.37500284784166,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRL,0.0,AVOID,23.35,23.35,30.508474576271187,-19.46130911496426,28.57,15.52,30.508474576271187,-19.46130911496426,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRMD,0.0,AVOID,44.464,44.464,50.84745762711864,15.06070101896664,50.0,36.16,50.84745762711864,15.06070101896664,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRNX,0.0,AVOID,40.624,40.624,44.06779661016949,16.9248263198047,42.86,37.27,44.06779661016949,16.9248263198047,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRON,0.0,AVOID,31.376,31.376,27.11864406779661,23.06372575267406,25.0,40.94,27.11864406779661,23.06372575267406,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRSP,0.0,AVOID,40.556,40.556,55.932203389830505,-14.730458495909744,55.36,18.35,55.932203389830505,-14.730458495909744,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CRVS,0.0,AVOID,50.924,50.924,50.84745762711864,42.07604113654549,50.0,52.31,50.84745762711864,42.07604113654549,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CSTL,0.0,AVOID,46.068,46.068,62.71186440677966,-9.587733139311368,62.5,21.42,62.71186440677966,-9.587733139311368,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CTKB,0.0,AVOID,24.634,24.634,16.94915254237288,21.740046655940084,14.29,40.15,16.94915254237288,21.740046655940084,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CTMX,0.0,AVOID,97.858,97.858,94.91525423728814,211.04645735182825,96.43,100.0,94.91525423728814,211.04645735182825,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CTNM,0.0,AVOID,57.398,57.398,35.59322033898305,109.483561249716,33.93,92.6,35.59322033898305,109.483561249716,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CYRX,0.0,AVOID,18.406,18.406,11.864406779661016,9.137337993087192,8.93,32.62,11.864406779661016,9.137337993087192,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
CYTK,0.0,AVOID,8.076,8.076,0.0,-11.64731733723741,0.0,20.19,0.0,-11.64731733723741,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DAWN,0.0,AVOID,34.55,34.55,49.15254237288136,-21.905538100894876,48.21,14.06,49.15254237288136,-21.905538100894876,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DBVT,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DFTX,0.0,AVOID,55.602,55.602,63.63636363636363,27.84040373622992,63.47,43.8,63.63636363636363,27.84040373622992,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DMAC,0.0,AVOID,83.13,83.13,89.83050847457628,73.70289425691143,91.07,71.22,89.83050847457628,73.70289425691143,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DNA,0.0,AVOID,33.216,33.216,55.932203389830505,-62.92415809264375,55.36,0.0,55.932203389830505,-62.92415809264375,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DNLI,0.0,AVOID,88.492,88.492,98.30508474576273,73.73489063250275,100.0,71.23,98.30508474576273,73.73489063250275,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DNTH,0.0,AVOID,12.87,12.87,11.864406779661016,-14.008162796207678,8.93,18.78,11.864406779661016,-14.008162796207678,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DRUG,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DSGN,0.0,AVOID,81.888,81.888,79.66101694915254,95.38376615036148,80.36,84.18,79.66101694915254,95.38376615036148,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
DYN,0.0,AVOID,58.294,58.294,64.40677966101694,37.03714257574117,64.29,49.3,64.40677966101694,37.03714257574117,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EBS,0.0,AVOID,37.5,37.5,62.71186440677966,-46.38909771674109,62.5,0.0,62.71186440677966,-46.38909771674109,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EDIT,0.0,AVOID,38.098,38.098,49.15254237288136,-7.06481235701483,48.21,22.93,49.15254237288136,-7.06481235701483,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EIKN,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ELAN,0.0,AVOID,43.326,43.326,54.23728813559322,1.3541102417598123,53.57,27.96,54.23728813559322,1.3541102417598123,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ELDN,0.0,AVOID,42.958,42.958,47.45762711864407,17.723595831137317,46.43,37.75,47.45762711864407,17.723595831137317,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ELTX,0.0,AVOID,24.264,24.264,20.33898305084746,11.235522295054253,17.86,33.87,20.33898305084746,11.235522295054253,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ELVN,0.0,AVOID,55.948,55.948,55.932203389830505,49.64296153977361,55.36,56.83,55.932203389830505,49.64296153977361,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ENGN,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ENTA,0.0,AVOID,93.46,93.46,98.30508474576273,94.50574484836584,100.0,83.65,98.30508474576273,94.50574484836584,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EOLS,0.0,AVOID,46.098,46.098,72.88135593220339,-36.33905279560828,73.21,5.43,72.88135593220339,-36.33905279560828,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EPRX,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ERAS,0.0,AVOID,37.086,37.086,25.42372881355932,51.42248876456093,23.21,57.9,25.42372881355932,51.42248876456093,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ESPR,0.0,AVOID,74.354,74.354,88.13559322033898,41.47756156489169,89.29,51.95,88.13559322033898,41.47756156489169,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ETON,0.0,AVOID,58.912,58.912,67.79661016949152,30.66520627523147,67.86,45.49,67.79661016949152,30.66520627523147,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
