ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
FULC,7.785,7.675,1.4332,,,,,,2026-04-01
GANX,2.025,1.93,4.9223,,,,,,2026-04-01
GENB,12.98,12.49,3.9231,,,,,,2026-04-01
GERN,1.625,1.485,9.4276,,,,,,2026-04-01
GHRS,14.62,14.09,3.7615,,,,,,2026-04-01
GILD,139.37,139.35,0.0144,,,,,,2026-04-01
GLPG,29.97,29.975,-0.0167,,,,,,2026-04-01
GLSI,24.38,24.02,1.4988,,,,,,2026-04-01
GLTO,28.17,28.765,-2.0685,,,,,,2026-04-01
GLUE,16.52,16.44,0.4866,,,,,,2026-04-01
GMAB,27.3,26.845,1.6949,,,,,,2026-04-01
GOSS,0.3587,0.3319,8.0747,,,,,,2026-04-01
GPCR,49.93,48.28,3.4176,,,,,,2026-04-01
GRAL,54.45,51.685,5.3497,,,,,,2026-04-01
GRFS,8.13,8.015,1.4348,,,,,,2026-04-01
GSK,55.865,55.175,1.2506,,,,,,2026-04-01
HALO,65.25,64.615,0.9827,,,,,,2026-04-01
HELP,4.975,4.79,3.8622,,,,,,2026-04-01
HRMY,28.115,28.0,0.4107,,,,,,2026-04-01
HROW,36.155,35.3,2.4221,,,,,,2026-04-01
HRTX,0.8123,0.7968,1.9453,,,,,,2026-04-01
HUMA,0.6008,0.604,-0.5298,,,,,,2026-04-01
IBRX,7.34,7.645,-3.9895,,,,,,2026-04-01
IDXX,568.33,561.77,1.1677,,,,,,2026-04-01
IDYA,33.765,33.305,1.3812,,,,,,2026-04-01
IKT,1.795,1.67,7.485,,,,,,2026-04-01
ILMN,127.95,123.23,3.8302,,,,,,2026-04-01
IMCR,31.02,30.13,2.9539,,,,,,2026-04-01
IMMP,0.3717,0.3539,5.0297,,,,,,2026-04-01
IMMX,9.27,9.13,1.5334,,,,,,2026-04-01
IMNM,22.835,21.9,4.2694,,,,,,2026-04-01
IMRX,5.42,5.26,3.0418,,,,,,2026-04-01
IMTX,10.36,9.83,5.3917,,,,,,2026-04-01
IMUX,1.185,1.105,7.2398,,,,,,2026-04-01
IMVT,25.39,24.86,2.1319,,,,,,2026-04-01
INBX,70.11,67.17,4.377,,,,,,2026-04-01
INCY,95.17,94.125,1.1102,,,,,,2026-04-01
INDV,30.64,30.49,0.492,,,,,,2026-04-01
INO,1.75,1.755,-0.2849,,,,,,2026-04-01
INSM,164.88,163.52,0.8317,,,,,,2026-04-01
INVA,23.26,23.28,-0.0859,,,,,,2026-04-01
IONS,75.38,75.08,0.3996,,,,,,2026-04-01
IOVA,3.445,3.51,-1.8519,23.9209,5.63,1.64,-38.8099,110.061,2026-04-01
IPSC,2.29,2.26,1.3274,,3.04,0.3516,-24.6711,551.3083,2026-04-01
IRD,4.78,4.55,5.0549,,,,,,2026-04-01
IRON,63.39,63.985,-0.9299,,,,,,2026-04-01
IRWD,3.725,3.51,6.1254,,,,,,2026-04-01
IVA,5.46,5.565,-1.8868,,,,,,2026-04-01
IVVD,1.35,1.295,4.2471,,,,,,2026-04-01
JANX,14.415,13.89,3.7797,,,,,,2026-04-01
JAZZ,190.32,188.79,0.8104,,,,,,2026-04-01
JBIO,14.74,14.025,5.098,,,,,,2026-04-01
JNJ,245.52,244.32,0.4912,,,,,,2026-04-01
KALA,0.1711,0.1742,-1.7796,,,,,,2026-04-01
KALV,20.335,20.135,0.9933,,,,,,2026-04-01
KNSA,48.42,48.29,0.2692,,,,,,2026-04-01
KOD,42.93,38.22,12.3234,,,,,,2026-04-01
KPTI,5.83,5.565,4.7619,,,,,,2026-04-01
KROS,11.71,11.05,5.9729,,,,,,2026-04-01
KRRO,12.41,11.34,9.4356,,,,,,2026-04-01
KRYS,256.69,257.81,-0.4344,,,,,,2026-04-01
KURA,8.48,8.13,4.305,,,,,,2026-04-01
KYMR,85.03,83.305,2.0707,,,,,,2026-04-01
KYTX,9.14,8.65,5.6647,,,,,,2026-04-01
LAB,0.9267,0.919,0.8379,,,,,,2026-04-01
LBRX,25.015,24.72,1.1934,,,,,,2026-04-01
LCTX,1.615,1.57,2.8662,,,,,,2026-04-01
LEGN,18.91,18.085,4.5618,,,,,,2026-04-01
LENZ,9.78,9.145,6.9437,,,,,,2026-04-01
LFCR,3.785,3.72,1.7473,,,,,,2026-04-01
LGND,199.965,199.84,0.0626,,,,,,2026-04-01
LLY,934.11,919.73,1.5635,,,,,,2026-04-01
LNTH,76.67,75.84,1.0944,,,,,,2026-04-01
LQDA,38.15,37.71,1.1668,,,,,,2026-04-01
LRMR,4.7,4.5,4.4444,,,,,,2026-04-01
LXEO,5.74,5.73,0.1745,,,,,,2026-04-01
LXRX,1.665,1.56,6.7308,,,,,,2026-04-01
LYEL,21.24,20.11,5.6191,,,,,,2026-04-01
MANE,62.0,62.93,-1.4778,,,,,,2026-04-01
MAZE,29.835,29.77,0.2183,,,,,,2026-04-01
MBX,31.08,29.875,4.0335,,,,,,2026-04-01
MDGL,530.74,523.17,1.4469,,,,,,2026-04-01
MDWD,16.09,15.555,3.4394,,,,,,2026-04-01
MDXG,4.065,3.95,2.9114,,,,,,2026-04-01
MEDP,488.66,480.325,1.7353,,,,,,2026-04-01
MESO,16.15,15.395,4.9042,,,,,,2026-04-01
MGNX,2.935,2.885,1.7331,,,,,,2026-04-01
MGTX,9.2,8.66,6.2356,,,,,,2026-04-01
