ticker,company_name,exchange,gics_sub_industry,gics_name,market_cap,addv_usd,mcap_tier,in_xbi,in_ibb,source,universe_date
AMPH,"Amphastar Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,889174592.0,13119858.575039165,small_cap,False,False,EDGAR,2026-03-19
TLRY,"Tilray Brands, Inc.",NASDAQ,35202010,Pharmaceuticals,841179904.0,19494806.21572639,small_cap,False,False,EDGAR,2026-03-19
MPLT,"MapLight Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,837813056.0,3001393.931166331,small_cap,False,False,EDGAR,2026-03-19
EVMN,"Evommune, Inc.",NYSE,35202010,Pharmaceuticals,836018944.0,25670351.430483375,small_cap,False,False,EDGAR,2026-03-19
OMER,Omeros Corporation,NASDAQ,35202010,Pharmaceuticals,816773312.0,9922267.33813216,small_cap,False,False,EDGAR,2026-03-19
EIKN,"Eikon Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,779533760.0,7632830.192584794,small_cap,False,False,EDGAR,2026-03-19
DRUG,Bright Minds Biosciences Inc.,NASDAQ,35202010,Pharmaceuticals,753679936.0,8846768.432552338,small_cap,False,False,EDGAR,2026-03-19
LXRX,"Lexicon Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,708283328.0,3854002.0967909493,small_cap,False,False,EDGAR,2026-03-19
PROK,ProKidney Corp.,NASDAQ,35201010,Biotechnology,696431552.0,1393364.5386783283,small_cap,False,False,EDGAR,2026-03-19
JBIO,"Jade Biosciences, Inc.",NASDAQ,35202010,Pharmaceuticals,693852672.0,4267849.117938391,small_cap,False,False,EDGAR,2026-03-19
AGMB,AgomAb Therapeutics NV,NASDAQ,35201010,Biotechnology,664769664.0,3361909.708010878,small_cap,False,False,EDGAR,2026-03-19
ZURA,Zura Bio Limited,NASDAQ,35201010,Biotechnology,658472128.0,3335913.942746798,small_cap,False,False,EDGAR,2026-03-19
ESPR,"Esperion Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,651447872.0,13715920.889482116,small_cap,False,False,EDGAR,2026-03-19
VOR,Vor Biopharma Inc.,NASDAQ,35201010,Biotechnology,626119168.0,9711394.776404317,small_cap,False,False,EDGAR,2026-03-19
LBRX,LB Pharmaceuticals Inc,NASDAQ,35202010,Pharmaceuticals,602371584.0,5658182.706104279,small_cap,False,False,EDGAR,2026-03-19
ENGN,enGene Holdings Inc.,NASDAQ,35201010,Biotechnology,580463680.0,4026287.4403707343,small_cap,False,False,EDGAR,2026-03-19
OCGN,"Ocugen, Inc.",NASDAQ,35201010,Biotechnology,531895200.0,16442588.60338257,small_cap,False,False,EDGAR,2026-03-19
AQST,"Aquestive Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,516683200.0,9792404.92950309,small_cap,False,False,EDGAR,2026-03-19
CRMD,CorMedix Inc.,NASDAQ,35202010,Pharmaceuticals,507795424.0,11586739.030870883,small_cap,False,False,EDGAR,2026-03-19
CLYM,"Climb Bio, Inc.",NASDAQ,35202010,Pharmaceuticals,489905152.0,4002088.507027181,small_cap,False,False,EDGAR,2026-03-19
IMMX,"Immix Biopharma, Inc.",NASDAQ,35202010,Pharmaceuticals,488246304.0,6622519.595524343,small_cap,False,False,EDGAR,2026-03-19
EPRX,Eupraxia Pharmaceuticals Inc.,NASDAQ,35202010,Pharmaceuticals,467844096.0,2179112.6171443937,small_cap,False,False,EDGAR,2026-03-19
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,450400512.0,5308702.6306020105,small_cap,False,False,EDGAR,2026-03-19
ASMB,"Assembly Biosciences, Inc.",NASDAQ,35202010,Pharmaceuticals,449760352.0,2717538.0073525747,small_cap,False,False,EDGAR,2026-03-19
CGC,Canopy Growth Corporation,NASDAQ,35202010,Pharmaceuticals,445152256.0,10326354.227933249,small_cap,False,False,EDGAR,2026-03-19
NATR,"Nature's Sunshine Products, Inc",NASDAQ,35202010,Pharmaceuticals,442123296.0,3500256.7851720173,small_cap,False,False,EDGAR,2026-03-19
SIGA,SIGA Technologies Inc.,NASDAQ,35202010,Pharmaceuticals,414987520.0,3561427.706596804,small_cap,False,False,EDGAR,2026-03-19
STRO,"Sutro Biopharma, Inc.",NASDAQ,35201010,Biotechnology,414692672.0,3011936.869713847,small_cap,False,False,EDGAR,2026-03-19
CYRX,"CryoPort, Inc.",NASDAQ,35202010,Pharmaceuticals,404056032.0,3414140.794201565,small_cap,False,False,EDGAR,2026-03-19
NAGE,"Niagen Bioscience, Inc.",NASDAQ,35202010,Pharmaceuticals,403420000.0,7963771.111818441,small_cap,False,False,EDGAR,2026-03-19
DMAC,DiaMedica Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,402558624.0,1533376.4757750193,small_cap,False,False,EDGAR,2026-03-19
